"key","en","el"
"sex_key","Sex","Φύλο"
"sex_key_dropdown","Male","Female","Άρρεν","Θήλυ"
"age_key","Age","Ηλικία"
"ethinicity_key","Ethnicity","Υπηκοότητα"
"work_key","Job description","Επάγγελμα"
"option_key","Your reason of visit to the archaeological site is of:","Η επισκεψή σας στο χώρο πραγματοποιείται στο πλαίσιο:"
"option_key_dropdown","Individual or small group", "Organized group with Guide or Group Leader","School visit","Ατομικής επίσκεψης (ή μικρή ανεξάρτητη ομάδα)","Οργανωμένης επισκεψης με ξεναγό/αρχηγό ομάδας","Σχολικής επίσκεψης"
"question1_key","Do you visit archaeological sites?","Επισκέπτεστε αρχαιολογικούς χώρους;"
"question1_answer_key","Rarely","Several Times","Often","Σπάνια","Αρκετές Φορές","Συχνά"
"question2_key","Before your visit on the site for the first time, did you know its exhistence?","Πριν επισκεφθείτε τον χώρι για πρώτη φορά, γνωρίζατε την ύπαρξή του;"
"question2_answer_key","Yes","No","Ναι","Όχι"

